,date,temperature,feels_like,rain,description,city
0,2023-12-11 15:00:00,8.07,4.24,0.16,light rain,enschede
1,2023-12-11 18:00:00,7.99,4.67,0.0,broken clouds,enschede
2,2023-12-11 21:00:00,7.74,4.87,0.11,light rain,enschede
3,2023-12-12 00:00:00,6.81,4.43,0.0,broken clouds,enschede
4,2023-12-12 03:00:00,6.22,3.6,0.13,light rain,enschede
5,2023-12-12 06:00:00,4.68,2.3,0.0,broken clouds,enschede
6,2023-12-12 09:00:00,5.66,3.09,0.0,overcast clouds,enschede
7,2023-12-12 12:00:00,7.22,4.61,0.31,light rain,enschede
8,2023-12-12 15:00:00,7.66,5.08,1.0,light rain,enschede
9,2023-12-12 18:00:00,8.38,5.84,1.12,light rain,enschede
10,2023-12-12 21:00:00,8.07,5.75,0.42,light rain,enschede
11,2023-12-13 00:00:00,7.4,4.75,0.54,light rain,enschede
12,2023-12-13 03:00:00,7.37,4.55,1.37,light rain,enschede
13,2023-12-13 06:00:00,7.73,5.4,0.54,light rain,enschede
14,2023-12-13 09:00:00,7.72,5.67,0.21,light rain,enschede
15,2023-12-13 12:00:00,7.48,6.36,0.0,overcast clouds,enschede
16,2023-12-13 15:00:00,7.28,7.28,0.11,light rain,enschede
17,2023-12-13 18:00:00,6.97,4.98,0.1,light rain,enschede
18,2023-12-13 21:00:00,4.86,1.21,0.0,overcast clouds,enschede
19,2023-12-14 00:00:00,3.54,-0.48,0.14,light rain,enschede
20,2023-12-14 03:00:00,3.58,-0.18,0.0,overcast clouds,enschede
21,2023-12-14 06:00:00,3.64,0.44,0.11,light rain,enschede
22,2023-12-14 09:00:00,3.96,1.41,0.0,overcast clouds,enschede
23,2023-12-14 12:00:00,4.3,2.15,0.0,overcast clouds,enschede
24,2023-12-14 15:00:00,4.13,3.08,0.0,overcast clouds,enschede
25,2023-12-14 18:00:00,3.78,2.19,0.0,overcast clouds,enschede
26,2023-12-14 21:00:00,3.79,1.72,0.0,overcast clouds,enschede
27,2023-12-15 00:00:00,4.42,2.97,0.0,overcast clouds,enschede
28,2023-12-15 03:00:00,4.59,3.49,0.0,overcast clouds,enschede
29,2023-12-15 06:00:00,3.79,2.47,0.0,overcast clouds,enschede
30,2023-12-15 09:00:00,4.46,2.73,0.0,broken clouds,enschede
31,2023-12-15 12:00:00,6.62,5.18,0.0,broken clouds,enschede
32,2023-12-15 15:00:00,6.62,5.04,0.0,overcast clouds,enschede
33,2023-12-15 18:00:00,5.85,3.58,0.0,overcast clouds,enschede
34,2023-12-15 21:00:00,3.8,1.26,0.0,scattered clouds,enschede
35,2023-12-16 00:00:00,4.48,2.28,0.0,broken clouds,enschede
36,2023-12-16 03:00:00,4.66,2.52,0.0,overcast clouds,enschede
37,2023-12-16 06:00:00,4.51,2.49,0.0,overcast clouds,enschede
38,2023-12-16 09:00:00,3.92,1.42,0.0,overcast clouds,enschede
39,2023-12-16 12:00:00,5.79,3.31,0.0,overcast clouds,enschede
0,2023-12-11 15:00:00,9.16,6.36,0.0,broken clouds,amsterdam
1,2023-12-11 18:00:00,8.77,6.35,0.0,broken clouds,amsterdam
2,2023-12-11 21:00:00,8.13,6.63,0.0,broken clouds,amsterdam
3,2023-12-12 00:00:00,7.3,5.83,0.15,light rain,amsterdam
4,2023-12-12 03:00:00,6.09,4.5,0.0,broken clouds,amsterdam
5,2023-12-12 06:00:00,5.62,3.48,0.0,overcast clouds,amsterdam
6,2023-12-12 09:00:00,6.7,4.05,0.68,light rain,amsterdam
7,2023-12-12 12:00:00,7.92,5.47,0.81,light rain,amsterdam
8,2023-12-12 15:00:00,9.26,6.99,0.18,light rain,amsterdam
9,2023-12-12 18:00:00,8.61,6.48,0.31,light rain,amsterdam
10,2023-12-12 21:00:00,8.37,6.53,0.46,light rain,amsterdam
11,2023-12-13 00:00:00,8.35,6.19,0.3,light rain,amsterdam
12,2023-12-13 03:00:00,7.38,4.94,0.0,overcast clouds,amsterdam
13,2023-12-13 06:00:00,8.29,6.16,0.18,light rain,amsterdam
14,2023-12-13 09:00:00,8.03,6.06,0.0,overcast clouds,amsterdam
15,2023-12-13 12:00:00,8.92,7.59,0.0,overcast clouds,amsterdam
16,2023-12-13 15:00:00,8.44,7.83,0.0,overcast clouds,amsterdam
17,2023-12-13 18:00:00,7.75,5.47,0.0,overcast clouds,amsterdam
18,2023-12-13 21:00:00,5.82,2.5,0.0,overcast clouds,amsterdam
19,2023-12-14 00:00:00,4.85,1.37,0.12,light rain,amsterdam
20,2023-12-14 03:00:00,4.8,1.71,0.0,overcast clouds,amsterdam
21,2023-12-14 06:00:00,4.74,2.37,0.0,overcast clouds,amsterdam
22,2023-12-14 09:00:00,4.93,4.93,0.0,overcast clouds,amsterdam
23,2023-12-14 12:00:00,5.97,4.76,0.0,overcast clouds,amsterdam
24,2023-12-14 15:00:00,6.08,5.02,0.0,overcast clouds,amsterdam
25,2023-12-14 18:00:00,5.8,3.37,0.31,light rain,amsterdam
26,2023-12-14 21:00:00,5.69,5.69,0.17,light rain,amsterdam
27,2023-12-15 00:00:00,5.2,3.52,0.0,overcast clouds,amsterdam
28,2023-12-15 03:00:00,6.33,4.61,0.0,overcast clouds,amsterdam
29,2023-12-15 06:00:00,5.26,2.97,0.0,broken clouds,amsterdam
30,2023-12-15 09:00:00,5.34,4.01,0.0,clear sky,amsterdam
31,2023-12-15 12:00:00,7.95,6.92,0.0,few clouds,amsterdam
32,2023-12-15 15:00:00,6.41,5.27,0.0,few clouds,amsterdam
33,2023-12-15 18:00:00,5.27,4.35,0.0,few clouds,amsterdam
34,2023-12-15 21:00:00,5.23,4.05,0.0,scattered clouds,amsterdam
35,2023-12-16 00:00:00,5.6,3.94,0.0,scattered clouds,amsterdam
36,2023-12-16 03:00:00,6.0,4.86,0.0,overcast clouds,amsterdam
37,2023-12-16 06:00:00,4.82,3.29,0.0,overcast clouds,amsterdam
38,2023-12-16 09:00:00,4.79,2.75,0.0,overcast clouds,amsterdam
39,2023-12-16 12:00:00,6.79,4.99,0.0,overcast clouds,amsterdam
0,2023-12-11 15:00:00,9.29,6.64,0.0,broken clouds,utrecht
